utc_ts,market_id,category,prob_bucket,is_degenerate,venue,best_bid,best_ask,mid,spread_bps,depth_within_1c,mid_disc_direct,mid_disc_synth,schema_version,error
2026-05-28T04:01:57.339434+00:00,nba_finals_okc,sports_nba_finals,central,False,kalshi_yes,0.56,0.57,0.565,176.99115044247608,533670.32,1.0000000000000009,1.0000000000000064,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_okc,sports_nba_finals,central,False,kalshi_no,0.43,0.44,0.435,229.88505747126456,533670.32,1.0000000000000009,1.0000000000000064,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_okc,sports_nba_finals,central,False,polymarket_yes,0.57,0.58,0.575,173.91304347826105,40049.659999999996,1.0000000000000009,1.0000000000000064,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_okc,sports_nba_finals,central,False,polymarket_no,0.42,0.43,0.425,235.29411764705904,40049.659999999996,1.0000000000000009,1.0000000000000064,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_cle,sports_nba_finals,tail_low,True,kalshi_yes,,,,,,,,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_cle,sports_nba_finals,tail_low,True,kalshi_no,,,,,,,,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_cle,sports_nba_finals,tail_low,True,polymarket_yes,,,,,,,,1,expected_404
2026-05-28T04:01:57.339434+00:00,nba_finals_cle,sports_nba_finals,tail_low,True,polymarket_no,,,,,,,,1,expected_404
2026-05-28T04:01:57.339434+00:00,nba_finals_nyk,sports_nba_finals,mid_low,True,kalshi_yes,0.3,0.31,0.305,327.8688524590167,232522.00999999998,-2.0500000000000016,,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_nyk,sports_nba_finals,mid_low,True,kalshi_no,0.69,0.7,0.695,143.88489208633106,232522.00999999998,-2.0500000000000016,,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_nyk,sports_nba_finals,mid_low,True,polymarket_yes,0.284,0.285,0.2845,35.14938488576453,181723.19,-2.0500000000000016,,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_nyk,sports_nba_finals,mid_low,True,polymarket_no,,,,,,-2.0500000000000016,,1,expected_404
2026-05-28T04:01:57.339434+00:00,nba_finals_sas,nba_finals,mid_low,False,kalshi_yes,0.14,0.15,0.14500000000000002,689.6551724137918,416021.64,0.34999999999999754,0.35000000000000586,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_sas,nba_finals,mid_low,False,kalshi_no,0.85,0.86,0.855,116.95906432748548,416021.64,0.34999999999999754,0.35000000000000586,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_sas,nba_finals,mid_low,False,polymarket_yes,0.148,0.149,0.1485,67.3400673400674,80965.70000000001,0.34999999999999754,0.35000000000000586,1,
2026-05-28T04:01:57.339434+00:00,nba_finals_sas,nba_finals,mid_low,False,polymarket_no,0.851,0.852,0.8514999999999999,11.743981209630077,80965.70000000001,0.34999999999999754,0.35000000000000586,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_arod,sports_retirement,tail_low,True,kalshi_yes,0.02,0.04,0.03,6666.666666666667,1230.71,3.2,3.200000000000003,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_arod,sports_retirement,tail_low,True,kalshi_no,0.96,0.98,0.97,206.18556701030946,1230.71,3.2,3.200000000000003,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_arod,sports_retirement,tail_low,True,polymarket_yes,0.042,0.082,0.062,6451.612903225807,0,3.2,3.200000000000003,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_arod,sports_retirement,tail_low,True,polymarket_no,0.918,0.958,0.938,426.4392324093809,0,3.2,3.200000000000003,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_kelce,sports_retirement,tail_low,True,kalshi_yes,0.03,0.06,0.045,6666.666666666667,0,-1.8499999999999999,-1.8500000000000072,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_kelce,sports_retirement,tail_low,True,kalshi_no,0.94,0.97,0.955,314.13612565445055,0,-1.8499999999999999,-1.8500000000000072,1,
2026-05-28T04:01:57.339434+00:00,sports_retirement_kelce,sports_retirement,tail_low,True,polymarket_yes,0.026,0.027,0.0265,377.3584905660381,420.71,-1.8499999999999999,-1.8500000000000072,1,
