utc_ts,market_id,is_crossed,takeable_usd,fillable,paper_spread_c,k_bid,k_ask,p_yes_bid,p_yes_ask,error
2026-05-28 04:01:57.339434+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.2,0.2,0.21,
2026-05-28 04:02:27.344588+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.2,0.2,0.21,
2026-05-28 04:02:57.348839+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.2,0.2,0.21,
2026-05-28 04:03:27.352692+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.2,0.2,0.21,
2026-05-28 04:10:30.965646+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:11:01.021948+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:11:31.089797+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:12:01.158371+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:12:31.232360+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:13:01.304699+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:13:31.376956+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:14:01.450749+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:14:31.524596+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:15:01.574537+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:15:31.648738+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:16:01.720801+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:16:31.769309+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:17:01.800845+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:17:31.866947+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:18:01.938339+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:18:31.987888+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:19:02.049320+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:19:32.116892+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:20:02.181519+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:20:32.229260+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:21:02.289432+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:21:32.359774+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:22:02.431798+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:22:32.470666+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:23:02.542018+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:23:32.615051+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:24:02.687401+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:24:32.760054+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:25:02.824466+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:25:32.882246+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:26:02.955511+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:26:33.030610+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:27:03.096893+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:27:33.169695+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:28:03.218982+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:28:33.221384+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:29:03.259879+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:29:33.333685+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:30:03.336280+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:30:33.410272+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:31:03.485618+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:31:33.547055+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:32:03.615713+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:32:33.624606+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:33:03.698505+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:33:33.773622+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:34:03.848829+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:34:33.918973+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:35:03.990830+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:35:34.065494+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:36:04.138273+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:36:34.199061+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
2026-05-28 04:37:04.264226+00:00,intl_mayor_kr_oseh,False,0.0,0.0,0.0,0.17,0.21,0.2,0.22,
